"item_id	item_name	category	department"
"7256	Spende 10 Eur	nos	other"
"7257	Spende 0"
"7261	Spende 1	nos	other"
"7262	Spende 2	nos	other"
"7263	Spende 3	nos	other"
"7265	Spende 5	nos	other"
"7266	Spende 1Eur	nos	other"
"7267	Spende 2Eur	nos	other"
"7268	Spende 5Eur	nos	other"
"7269	Spende 10Eur	nos	other"
"7271	Spende von 2Eur	nos	other"
"7272	Spende von 5Eur	nos	other"
"7273	Spende von 10Eur	nos	other"
"7274	T-Shirt	nos	other"
"7275	Hip Bag	nos	other"
"7278	Socken	nos	other"
"7279	Festival Baendchen	nos	other"
"7280	Button	nos	other"
"7281	Spende 10	nos	other"
"7286	MELT Bier	tap_beer	drinks"
"7287	Biertraeger	tap_beer	drinks"
"7288	Jever Fun Alk Frei	beer	drinks"
"7289	Radler	beer	drinks"
"7290	Deperados Original	beer	drinks"
"7291	Deperados Red	beer	drinks"
"7292	Deperados Green	beer	drinks"
"7293	Desperados PROMO	beer	drinks"
"7294	Sekt	wine	drinks"
"7295	Weisswein	wine	drinks"
"7296	Rotwein	wine	drinks"
"7297	Vio Bio Limo Orange	soft_drink	drinks"
"7298	Vio Medium	soft_drink	drinks"
"7299	Vio Still	soft_drink	drinks"
"7300	Red Bull Summer Edition	energy_drink	drinks"
"7301	Red Bull Yellow Edition	energy_drink	drinks"
"7302	Jaegermeister Shot	spirit	drinks"
"7303	Whiskey Bulleit	spirit	drinks"
"7304	Berliner Luft Pfeffi	spirit	drinks"
"7305	Smirnoff Red Vodka	spirit	drinks"
"7306	Vodka Cola	spirit	drinks"
"7307	Gin Tonic	spirit	drinks"
"7308	Rum Cola	spirit	drinks"
"7309	Vodka Red Bull	spirit	drinks"
"7310	Whiskey Cola	spirit	drinks"
"7311	Jaegermeister Red Bull	spirit	drinks"
"7312	Jaegermeister Maracuja	spirit	drinks"
"7313	Summer´s Tale	spirit	drinks"
"7314	Hello Yellow	spirit	drinks"
"7315	Vio Medium	soft_drink	drinks"
"7316	MELT Bier	beer	drinks"
"7317	Somersby Cider	beer	drinks"
"7318	Stone Enter Night Dose	beer	drinks"
"7319	Deperados Dose	beer	drinks"
"7320	Red Bull Camping	energy_drink	drinks"
"7321	Stone Enter Night Pils	beer	drinks"
"7322	Stone Ripper Pale Ale	beer	drinks"
"7323	BRLO German IPA	beer	drinks"
"7324	BRLO Helles	beer	drinks"
"7325	Coca Cola	soft_drink	drinks"
"7326	Coca Cola Zero	soft_drink	drinks"
"7327	Ice Cubes 2KG	drinks_nos	drinks"
"7328	Ice cubes 5KG	drinks_nos	drinks"
"7329	Vodka Cola	spirit	drinks"
"7330	Rum Cola	spirit	drinks"
"7331	Whiskey Cola	spirit	drinks"
"7332	Gin Tonic	spirit	drinks"
"7333	Deposit	nos	other"
"7334	Koawach	food_nos	food"
"7336	Wine Slushie 0"
"7337	Jaegermeister Shot	spirit	drinks"
"7338	Berliner Luft	spirit	drinks"
"7339	Extra 0"
"7340	Bag	merchandising	non_food"
"7341	Sonnenbrille/Pops/Bag	nos	other"
"7343	T-Shirt/Cap	merchandising	non_food"
